Position,Name,Year,URL,Description
1,Princess Ali,1895,https://boxd.it/54Am,
2,Little Egypt,1896,https://boxd.it/drCQ,
3,Egyptian Oriental Dance,1896,https://boxd.it/vc4U,
4,Egyptian Bullock-Pump Drawing Water,1897,https://boxd.it/NN8U,
5,Procession of the sacred carpet,1897,https://boxd.it/6O52,
6,"Cairo, Artillery Parade",1897,https://boxd.it/5StA,
7,The Seaforth Highlanders' Return to Cairo after the Fall of Omdurman and Khartoum,1898,https://boxd.it/APtE,
8,II. La fuite en Égypte,1898,https://boxd.it/v3X2,
9,Egyptian Fakir with Dancing Monkey,1903,https://boxd.it/5U7G,
10,Danse égyptienne,1903,https://boxd.it/f8pi,
11,From Cairo to the Pyramids,1905,https://boxd.it/Hp1y,
12,The Visit of the Khedive Abbas Helmi to the Scientific Institute of the Sidi AboulAbbas Mosque,1907,https://boxd.it/FHvs,
13,Native Life in Egyptian Sudan,1908,https://boxd.it/HnXq,
14,"Antony and Cleopatra, a Love Story of the Noblest Roman and the Most Beautiful Egyptian",1908,https://boxd.it/k7Vs,
15,Egypt,1910,https://boxd.it/ruA2,
16,The Streets of Alexandria,1912,https://boxd.it/b0kQ,
17,The Vengeance of Egypt,1912,https://boxd.it/hwnO,
18,Joseph in the Land of Egypt,1914,https://boxd.it/5lEU,
19,Excursion to Ancient Egypt,1914,https://boxd.it/aanS,
20,The Egyptian Mummy,1914,https://boxd.it/5lMk,
21,The Dust of Egypt,1915,https://boxd.it/oHBw,
22,The Man from Egypt,1916,https://boxd.it/6S4W,
23,The Deadly Flowers,1918,https://boxd.it/rd1O,
24,Bedouin's Honor,1918,https://boxd.it/FHo2,
25,Madame Loretta,1919,https://boxd.it/aVJQ,
26,The American Aunt,1920,https://boxd.it/aTow,
27,Barsoum Looking for a Job,1923,https://boxd.it/ky1Q,
28,Saad Zaghloul Back,1923,https://boxd.it/vEtS,
29,Fi Bilad Tutankhamun,1923,https://boxd.it/aPfU,
30,The Civil Servant,1924,https://boxd.it/8Ig8,
31,Shadow of Egypt,1924,https://boxd.it/fzau,
32,A Cafe in Cairo,1924,https://boxd.it/JwX4,
33,Daily Life in Egypt: Ancient and Modern,1925,https://boxd.it/TWbA,
34,Dinky Doodle in Egypt,1926,https://boxd.it/cTBO,
35,The Call of God,1926,https://boxd.it/rd1E,
36,Mummy O'Mine,1926,https://boxd.it/bwcO,
37,Laila,1927,https://boxd.it/aTbW,
38,The Clog-maker,1928,https://boxd.it/rd5c,
39,Under The Sky of Egypt,1928,https://boxd.it/rd1u,
40,A Trip to Cairo,1928,https://boxd.it/rThE,
41,Kiss in the Desert,1928,https://boxd.it/8Ofq,
42,Soad The Gypsy,1928,https://boxd.it/rd4I,
43,The Victim,1928,https://boxd.it/rd5G,
44,The Sea Is Smiling,1928,https://boxd.it/aLwW,
45,Tragedy over the Pyramid,1928,https://boxd.it/rd5w,
46,Maasaat Alhayah,1929,https://boxd.it/rd8g,
47,Hell in the Sand,1929,https://boxd.it/rd7M,
48,An Egyptian Gyp,1929,https://boxd.it/tWOU,
49,Daughter of the Nile,1929,https://boxd.it/rd8q,
50,Belle of the Desert,1929,https://boxd.it/rd44,
51,Zeinab,1930,https://boxd.it/MekO,
52,Gypped in Egypt,1930,https://boxd.it/59VY,
53,Cocaine,1930,https://boxd.it/aMtu,
54,His Excellency Kish Kish Bey,1931,https://boxd.it/aZ22,
55,Egyptian Melodies,1931,https://boxd.it/3AS4,
56,Sons of Aristocrats,1932,https://boxd.it/aITS,
57,٠٥٠٠١,1932,https://boxd.it/PRCI,
58,The Love Melody,1932,https://boxd.it/92jQ,
59,Pangs of Remorse,1932,https://boxd.it/b1OM,
60,Fiancé No. 13,1933,https://boxd.it/aTv8,
61,Atone for Your Sin,1933,https://boxd.it/aTbM,
62,When a Woman Loves,1933,https://boxd.it/aQZk,
63,أولاد مصر,1933,https://boxd.it/PREu,
64,The Barbarian,1933,https://boxd.it/3Cpo,
65,The Wedding,1933,https://boxd.it/b2EI,
66,Cairo Season,1933,https://boxd.it/9QvW,
67,The White Rose,1933,https://boxd.it/8x0y,
68,Bewitching Eyes,1934,https://boxd.it/NG5u,
69,"Egypt, Kingdom of the Nile",1934,https://boxd.it/5slq,
70,Yacout,1934,https://boxd.it/7Pxo,
71,The Accusation,1934,https://boxd.it/NcoQ,
72,The Two Representatives,1934,https://boxd.it/qFEs,
73,الدكتور فرحات,1935,https://boxd.it/PQqQ,
74,The Victims,1935,https://boxd.it/aMuC,
75,Shajarat al-Durr,1935,https://boxd.it/b03A,
76,شالوم الترجمان,1935,https://boxd.it/PQfI,
77,Charlie Chan in Egypt,1935,https://boxd.it/1fAu,
78,البحار,1935,https://boxd.it/PRIG,
79,Bound for Cairo,1935,https://boxd.it/tekG,
80,Antar Effendi,1935,https://boxd.it/Rf64,
81,Tears of Love,1935,https://boxd.it/aMKg,
82,Banknote,1936,https://boxd.it/Rdke,
83,Meshmesh Effendi (1936),1936,https://boxd.it/Rzhc,
84,Nothing To Do,1936,https://boxd.it/u1lS,
85,Proxy Wife,1936,https://boxd.it/Rdlm,
86,Wedad,1936,https://boxd.it/9cJu,
87,١٠٠ ألف جنيه,1936,https://boxd.it/PRJk,
88,Queen of the Stage,1936,https://boxd.it/aVSy,
89,The Night Watchman,1936,https://boxd.it/F62I,
90,Suspicious Affluence,1937,https://boxd.it/aT5E,
91,Layla the Desert Girl,1937,https://boxd.it/8j9G,
92,Tita and Wong,1937,https://boxd.it/b0MA,
93,Hymn of Hope,1937,https://boxd.it/aYdI,
94,Δόκτωρ Επαμεινώνδας,1937,https://boxd.it/Nvx8,
95,Shalom the Sportsman,1937,https://boxd.it/b044,
96,Salama Is Fine,1937,https://boxd.it/8jPW,
97,Seven O'clock,1937,https://boxd.it/lBu4,
98,Behind the curtain,1937,https://boxd.it/Rd4q,
99,El Teleghraf,1938,https://boxd.it/b0LM,
100,Bent Elbasha El Moder,1938,https://boxd.it/F79K,
101,Long Live Love!,1938,https://boxd.it/b28C,
102,أنا طبعي كده,1938,https://boxd.it/sBQ4,
103,Όταν ο σύζυγος ταξιδεύει,1938,https://boxd.it/Nf3G,
104,Καπετάν Σκορπιός,1938,https://boxd.it/Nvxi,
105,The Life and Sufferings of Christ,1938,https://boxd.it/pNay,
106,Αρραβών μετ' εμποδίων,1938,https://boxd.it/zLA0,
107,Cairo 'City of Contrast',1938,https://boxd.it/7twy,
